Pk,Uk
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
